Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://85.img.avito.st/208x156/10837188585.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 9 985 000 ₽,10 563 400 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2115108194
"<img src=""https://99.img.avito.st/208x156/10589137499.jpg"">","BMW X5, 2009","290 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 350 000 ₽,-,"Тверская область, Торжок",https://www.avito.ru/torzhok/avtomobili/bmw_x5_2009_2083466715
"<img src=""https://15.img.avito.st/208x156/10813046715.jpg"">","BMW X5, 2008","221 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 450 000 ₽,-,"Республика Татарстан, Набережные Челны",https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_2008_2121725540
"<img src=""https://87.img.avito.st/208x156/10397243387.jpg"">","BMW X5, 2006","56 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,"Новосибирская область, Новосибирск",https://www.avito.ru/novosibirsk/avtomobili/bmw_x5_2006_2061726886
"<img src=""https://76.img.avito.st/208x156/10027213776.jpg"">","BMW X5, 2007","241 850 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",750 000 ₽,-,"Карачаево-Черкесская Республика, Черкесск",https://www.avito.ru/cherkessk/avtomobili/bmw_x5_2007_2031947244
"<img src=""https://15.img.avito.st/208x156/10731217715.jpg"">","BMW X5, 2020","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 950 000 ₽,-,"Краснодарский край, Новороссийск",https://www.avito.ru/novorossiysk/avtomobili/bmw_x5_2020_2140116824
"<img src=""https://42.img.avito.st/208x156/10804054642.jpg"">","BMW X5, 2005","280 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",720 000 ₽,-,"Краснодарский край, Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2005_2135065520
"<img src=""https://15.img.avito.st/208x156/10830614615.jpg"">","BMW X5, 2004","198 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",820 000 ₽,-,"Краснодарский край, г.о. Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2004_2072901171
"<img src=""https://76.img.avito.st/208x156/10811661976.jpg"">","BMW X5, 2020","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 9 427 700 ₽,9 627 700 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2076270456
"<img src=""https://38.img.avito.st/208x156/10835710538.jpg"">","BMW X5, 2012","86 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,"Республика Северная Осетия — Алания, Ардонский р-н, Ардон",https://www.avito.ru/ardon/avtomobili/bmw_x5_2012_2137571811
